employer_name,employer_number,more_details,city,address,decision_date,industry,final_sanction_amount,reason_of_review,law,note,employees_general_number,checked_employees_number,appeal,court_appeal,financial_sanction_reduction,,,,,
"ליבוביץ-ברגר בע""מ ",513069047,,ירושלים,הרב קוק 8,11/04/2021,"שרותים מקצועיים, טכניים ואישיים",,תלונה,"חוק שכר מינימום, תשמ""ז-1987. סעיף 2, אי תשלום שכר מינימום ע""י מעביד לעובדו",542/2020,2,2,כן. הבקשה נדחתה,לא,תקנה 1א - הפחתה לפי מחזור עסקאות  2.5%  /  4.5%,,,,,
"א.נ דריכת מבנים בע""מ ",516231727,,עפולה,הגדוד העברי 5,16/05/2023,בניין,39770,תלונה,"חוק שכר מינימום, תשמ""ז-1987. סעיף 2, אי תשלום שכר מינימום ע""י מעביד לעובדו",1701/2022,4,4,לא,לא,לא קיים,,,,,
"יעדים לתוצאות בע""מ ",515974806,,קריית מוצקין,קדיש לוז 76,13/06/2023,בניין,477240,תלונה,"חוק שכר מינימום, תשמ""ז-1987. סעיף 2, אי תשלום שכר מינימום ע""י מעביד לעובדו",1888/2022,23,4,לא,לא,לא קיים,,,,,
"ארגון נוער פרחי הדגל (ע""ר) ",580243723,,ירושלים,ישעיהו פרס 5,16/04/2024,חינוך,198850,יזום/מודיעין,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",1767/2022,36,4,לא,לא,לא קיים,,,,,
"א. רוט בע""מ ",512028630,,ירושלים,גבעת משה 5,02/11/2023,מסחר,19885,יזום/מודיעין,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",1779/2022,10,4,לא,לא,1(א)(1)+1(א)(3) - 50%,,,,,
"פרפקט נוי שירותי אחזקה בע""מ ",514938323,,שוהם,שד' עמק איילון 81,26/06/2023,"קבלני כ""א",119310,תלונה,"חוק שכר מינימום, תשמ""ז-1987. סעיף 2, אי תשלום שכר מינימום ע""י מעביד לעובדו",1456/2022,10,10,לא,לא,לא קיים,,,,,
"פרפקט נוי שירותי אחזקה בע""מ ",514938323,,שוהם,שד' עמק איילון 81,26/06/2023,"קבלני כ""א",1193100,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",1456/2022,10,10,לא,לא,לא קיים,,,,,
"פרפקט נוי שירותי אחזקה בע""מ ",514938323,,שוהם,שד' עמק איילון 81,26/06/2023,"קבלני כ""א",1193100,תלונה,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים, התשי""ז- 1956. אי תשלום תשלומים מכח צווי הרחבה בעניין פנסיה",1456/2022,10,10,לא,לא,לא קיים,,,,,
"מוסך בני יצחק אסייג בע""מ ",513558742,,ירושלים,התעשיה 5,02/08/2023,תחנות דלק ושרותי רכב,19885,יזום/מודיעין,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",88/2023,21,4,לא,לא,1(א)(1)+1(א)(3) - 50%,,,,,
"אלעהד אל אסאסיה אלנמוזגיה בע""מ ",513325290,,ירושלים,דרך שועפאט 1,22/08/2023,חינוך,119310,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",287/2023,1,1,לא,לא,לא קיים,,,,,
"א.א. מראות בע""מ ",511231011,,מודיעין-מכבים-רעות,צלע ההר 31,18/06/2024,תעשייה,19885,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",145/2023,66,7,לא,לא,1(א)(1)+1(א)(3) - 50%,,,,,
"עיתוניש בע""מ ",514361922,,ירושלים,הרטום 12,01/08/2024,משלוחים,19885,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",113/2023,98,10,לא,לא,1(א)(1)+1(א)(3) - 50%,,,,,
"גי סי אי איוונטס גרופ בע""מ ",515046860,,ירושלים,בן יהודה 34,27/03/2024,מסעדות,38480,תלונה,"חוק שכר מינימום, תשמ""ז-1987. סעיף 2, אי תשלום שכר מינימום ע""י מעביד לעובדו",2015/2022,10,4,כן. טרם התקבלה החלטה,לא,לא קיים,,,,,
"דגן אתגרים יזמות וניהול פרוייקטים בע""מ ",512371477,,מודיעין-מכבים-רעות,"דרך ד""ר פלד ישראל 1",12/05/2024,מסעדות,19885,תלונה,"חוק עבודת הנוער, תשי""ג-1953. סעיף 2, העסקת ילד מתחת לגיל 15.",119/2023,48,5,לא,לא,1(א)(1)+1(א)(3) - 50%,,,,,
"בא בטוב שיווק בע""מ ",514574946,,ירושלים,יפו 58,24/03/2024,מסחר,39770,תלונה,"חוק שכר מינימום, תשמ""ז-1987. סעיף 2, אי תשלום שכר מינימום ע""י מעביד לעובדו",468/2023,1,1,לא,לא,לא קיים,,,,,
"שלדון אחזקות בע""מ ",515673036,,הרצלייה,סוקולוב 91,28/07/2024,קבלני שירותים (שמירה אבטחה וניקיון),19885,יזום/מודיעין,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",1984/2022,4,4,לא,לא,1(א)(1)+1(א)(3) - 50%,,,,,
"ר.ע.מ בכיכר בע""מ ",515505196,,תל אביב -יפו,דיזנגוף 245,31/03/2024,מסעדות,,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",199/2023,21,4,לא,לא,תקנה 1א - הפחתה לפי מחזור עסקאות  2.5%  /  4.5%,,,,,
"רימון - פתרונות שיתופיים (ע""ר) ",580580603,,ירושלים,התקווה 35,02/06/2024,"ממשלה, רשויות מקומיות ומינהל ציבורי",,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",1690/2021,2,2,כן. הבקשה התקבלה חלקית,לא,תקנה 1א - הפחתה לפי מחזור עסקאות  2.5%  /  4.5%,,,,,
"מאפה נאמן - מאפה הפנינים בע""מ ",514102987,,בית שמש,יגאל אלון 24,31/03/2024,מסעדות,19885,יזום/מודיעין,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",18355/2015,12,2,כן. הבקשה התקבלה חלקית,לא,1(א)(1)+1(א)(3) - 50%,,,,,
