סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_6,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
0         ,לא רשום                  ,0         ,לא ידוע                  ,0         ,                         ,0         ,                         ,18367     ,203       ,523       ,934       ,640       ,658       ,15409
7         ,שחר                      ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,773       ,68        ,192       ,270       ,92        ,59        ,92
10        ,תירוש                    ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,465       ,40        ,96        ,161       ,63        ,45        ,60
11        ,ניר ח"ן                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,601       ,44        ,150       ,193       ,66        ,56        ,92
13        ,חצבה                     ,62        ,באר שבע                  ,63        ,אילת                     ,54        ,הערבה התיכונה            ,687       ,74        ,163       ,213       ,61        ,44        ,132
15        ,נועם                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,34        ,שפיר                     ,444       ,42        ,99        ,160       ,46        ,35        ,62
16        ,בית ניר                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,35        ,יואב                     ,680       ,44        ,208       ,193       ,117       ,44        ,74
18        ,שדה משה                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,628       ,65        ,162       ,211       ,62        ,63        ,65
21        ,באר אורה                 ,62        ,באר שבע                  ,63        ,אילת                     ,53        ,חבל אילות                ,994       ,84        ,354       ,312       ,173       ,41        ,30
22        ,מקווה ישראל              ,53        ,חולון                    ,53        ,חולון                    ,0         ,                         ,212       ,21        ,33        ,79        ,25        ,17        ,37
23        ,אמציה                    ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,347       ,47        ,85        ,141       ,27        ,18        ,29
24        ,לכיש                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,805       ,43        ,207       ,250       ,161       ,45        ,99
26        ,ראש פינה                 ,21        ,צפת                      ,21        ,צפת                      ,0         ,                         ,3340      ,257       ,640       ,1171      ,421       ,324       ,527
27        ,שדות מיכה                ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,399       ,24        ,109       ,134       ,41        ,41        ,50
28        ,מזכרת בתיה               ,44        ,רחובות                   ,44        ,רחובות                   ,0         ,                         ,16012     ,1412      ,4281      ,5524      ,2146      ,1210      ,1439
29        ,יסוד המעלה               ,21        ,צפת                      ,21        ,צפת                      ,0         ,                         ,1709      ,136       ,359       ,595       ,240       ,150       ,229
31        ,אופקים                   ,62        ,באר שבע                  ,62        ,באר שבע                  ,0         ,                         ,32354     ,4144      ,7094      ,12175     ,2995      ,2546      ,3400
32        ,עוצם                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,620       ,75        ,121       ,209       ,72        ,65        ,78
33        ,בת שלמה                  ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,667       ,57        ,175       ,233       ,90        ,56        ,56
35        ,גדות                     ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,506       ,52        ,70        ,186       ,52        ,42        ,104
36        ,שדה דוד                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,619       ,86        ,132       ,227       ,58        ,38        ,78
37        ,איתן                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,34        ,שפיר                     ,516       ,55        ,115       ,191       ,59        ,47        ,49
38        ,כרי דשא                  ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,4         ,0         ,0         ,0         ,1         ,1         ,2
39        ,גפן                      ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,384       ,41        ,89        ,134       ,32        ,38        ,50
41        ,אליכין                   ,41        ,השרון                    ,32        ,חדרה                     ,0         ,                         ,3749      ,317       ,811       ,1286      ,475       ,392       ,468
43        ,מטולה                    ,21        ,צפת                      ,21        ,צפת                      ,0         ,                         ,1758      ,89        ,246       ,776       ,180       ,198       ,269
44        ,זוהר                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,388       ,46        ,75        ,149       ,25        ,44        ,49
46        ,יבנאל                    ,22        ,כנרת                     ,22        ,טבריה                    ,0         ,                         ,4440      ,592       ,1373      ,1434      ,348       ,320       ,373
47        ,כפר תבור                 ,22        ,כנרת                     ,22        ,טבריה                    ,0         ,                         ,4685      ,368       ,1110      ,1585      ,614       ,460       ,548
48        ,מנחמיה                   ,22        ,כנרת                     ,22        ,טבריה                    ,7         ,עמק המעיינות             ,1238      ,110       ,203       ,445       ,146       ,149       ,185
49        ,אילניה                   ,22        ,כנרת                     ,22        ,טבריה                    ,3         ,הגליל התחתון             ,603       ,34        ,103       ,235       ,91        ,67        ,73
52        ,לוזית                    ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,777       ,97        ,237       ,260       ,96        ,52        ,35
53        ,עתלית                    ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,8296      ,861       ,1884      ,2883      ,942       ,672       ,1054
55        ,נוגה                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,593       ,58        ,135       ,205       ,60        ,40        ,95
57        ,כנרת )קבוצה(             ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,849       ,65        ,147       ,297       ,90        ,73        ,177
58        ,מצפה                     ,22        ,כנרת                     ,22        ,טבריה                    ,3         ,הגליל התחתון             ,168       ,17        ,17        ,64        ,17        ,18        ,35
59        ,נחושה                    ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,1472      ,147       ,613       ,504       ,130       ,49        ,29
62        ,דגניה א'                 ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,688       ,60        ,96        ,247       ,71        ,60        ,154
63        ,כנרת )מושבה(             ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,673       ,38        ,111       ,243       ,85        ,101       ,95
