Year,Month,Cbs district,Name,Residential Area Type,Total Population,Gender Ratio,Total jobseekers,Academic,Unemployed job seekers,Estimated unemployed rate in city
2010,1,אזור יהודה והשומרון,אורנית,מועצה מקומית,3738,0.693877551,83,36,83,0.0222
2010,1,אזור יהודה והשומרון,אלפי מנשה,מועצה מקומית,4036,0.76,88,26,88,0.0218
2010,1,אזור יהודה והשומרון,אלקנה,יישוב כפרי,1680,1.5,20,9,20,0.0119
2010,1,אזור יהודה והשומרון,אפרתה,מועצה מקומית,3503,1.4,48,18,48,0.0137
2010,1,אזור יהודה והשומרון,אריאל,מועצה מקומית,9951,0.85520362,410,111,410,0.0412
2010,1,אזור יהודה והשומרון,בית אל,מועצה מקומית,2124,1.157894737,41,18,41,0.0193
2010,1,אזור יהודה והשומרון,בית אריה,מועצה מקומית,2122,0.903225806,59,10,59,0.0278
2010,1,אזור יהודה והשומרון,ביתר עילית,מועצה מקומית,8412,0.915662651,318,13,313,0.0378
2010,1,אזור יהודה והשומרון,גבעת זאב,מועצה מקומית,6000,0.8,153,25,153,0.0255
2010,1,אזור יהודה והשומרון,הר אדר,יישוב כפרי,1715,0.933333333,29,16,29,0.0169
2010,1,אזור יהודה והשומרון,מודיעין עילית,מועצה מקומית,10316,0.601226994,261,14,261,0.0253
2010,1,אזור יהודה והשומרון,מעלה אדומים,מועצה מקומית,17771,0.75074184,590,93,584,0.0332
2010,1,אזור יהודה והשומרון,עמנואל,יישוב כפרי,950,1.30952381,97,5,97,0.102
2010,1,אזור יהודה והשומרון,קדומים,יישוב כפרי,1594,1,22,7,22,0.0138
2010,1,אזור יהודה והשומרון,קריית ארבע,מועצה מקומית,2788,1.122807018,121,24,121,0.0434
2010,1,אזור יהודה והשומרון,קרני שומרון,מועצה מקומית,3247,1.235294118,76,13,76,0.0234
2010,1,הדרום,אופקים,מועצה מקומית,11296,0.733840304,1368,95,1358,0.1211
2010,1,הדרום,אילת,עיר,30989,0.854897219,1534,73,1519,0.0495
2010,1,הדרום,אשדוד,עיר,100468,0.652956298,7073,823,7025,0.0704
2010,1,הדרום,אשקלון,עיר,58408,0.701662292,3890,611,3833,0.0666
2010,1,הדרום,באר שבע,עיר,94739,0.751680861,7816,1013,7774,0.0825
2010,1,הדרום,דימונה,מועצה מקומית,17632,0.791189427,2033,138,2009,0.1153
2010,1,הדרום,חורה,מועצה מקומית,2992,0.843835616,673,0,673,0.2249
2010,1,הדרום,ירוחם,מועצה מקומית,4200,1.04784689,428,32,419,0.1019
2010,1,הדרום,כסיפה,מועצה מקומית,3699,0.814176245,947,1,946,0.256
2010,1,הדרום,להבים,מועצה מקומית,3057,1,48,27,48,0.0157
2010,1,הדרום,לקיה,מועצה מקומית,3195,0.912765957,899,5,897,0.2813
2010,1,הדרום,מיתר,מועצה מקומית,3677,0.78125,57,25,57,0.0155
2010,1,הדרום,מצפה רמון,מועצה מקומית,2354,0.615942029,223,23,209,0.0947
2010,1,הדרום,נתיבות,מועצה מקומית,11626,0.761710794,865,43,857,0.0744
2010,1,הדרום,עומר,מועצה מקומית,3714,0.575757576,52,24,52,0.014
2010,1,הדרום,ערד,מועצה מקומית,12628,0.687908497,1033,202,1014,0.0818
2010,1,הדרום,ערערה-בנגב,מועצה מקומית,3135,0.676579926,902,3,901,0.2877
2010,1,הדרום,קריית גת,עיר,25005,0.661971831,2478,207,2474,0.0991
2010,1,הדרום,קריית מלאכי,מועצה מקומית,10788,0.788288288,1191,32,1180,0.1104
2010,1,הדרום,רהט,מועצה מקומית,14008,0.701570681,2925,8,2922,0.2088
2010,1,הדרום,שגב-שלום,מועצה מקומית,2052,0.709677419,530,1,529,0.2582
2010,1,הדרום,שדרות,מועצה מקומית,10801,0.713983051,809,49,807,0.0749
2010,1,הדרום,תל שבע,מועצה מקומית,3838,0.928093645,1153,5,1149,0.3004
2010,1,המרכז,אבן יהודה,מועצה מקומית,5941,0.918918919,142,44,142,0.0239
2010,1,המרכז,אליכין,יישוב כפרי,1566,0.740740741,47,4,47,0.03
2010,1,המרכז,אלעד,מועצה מקומית,10553,0.856410256,362,34,360,0.0343
2010,1,המרכז,באר יעקב,מועצה מקומית,7147,0.874015748,238,36,232,0.0333
2010,1,המרכז,בית דגן,מועצה מקומית,3264,1.22,111,17,111,0.034
2010,1,המרכז,"בני עי""ש",מועצה מקומית,3937,0.852941176,189,37,185,0.048
2010,1,המרכז,גבעת שמואל,מועצה מקומית,10376,0.952755906,248,94,248,0.0239
2010,1,המרכז,גדרה,מועצה מקומית,10085,0.819587629,353,66,350,0.035
2010,1,המרכז,ג'לג'וליה,מועצה מקומית,2808,1.083333333,50,0,50,0.0178
2010,1,המרכז,גן יבנה,מועצה מקומית,9643,0.683937824,325,42,324,0.0337
2010,1,המרכז,גני תקווה,מועצה מקומית,6983,0.920454545,169,43,168,0.0242
2010,1,המרכז,הוד השרון,עיר,24866,0.746081505,557,185,557,0.0224
2010,1,המרכז,זמר,מועצה מקומית,2439,0.560344828,181,3,181,0.0742
2010,1,המרכז,טייבה,מועצה מקומית,14701,0.75235647,2045,7,2034,0.1391
2010,1,המרכז,טירה,מועצה מקומית,8896,0.985507246,274,3,273,0.0308
2010,1,המרכז,יבנה,מועצה מקומית,18026,0.826666667,959,69,953,0.0532
2010,1,המרכז,יהוד,מועצה מקומית,15142,0.697508897,477,60,459,0.0315
2010,1,המרכז,כוכב יאיר,מועצה מקומית,5246,0.7,85,47,85,0.0162
2010,1,המרכז,כפר ברא,יישוב כפרי,1017,1.090909091,23,0,23,0.0226
2010,1,המרכז,כפר יונה,מועצה מקומית,9513,0.708737864,352,50,348,0.037
2010,1,המרכז,כפר סבא,עיר,45934,0.846405229,1130,326,1124,0.0246
2010,1,המרכז,כפר קאסם,מועצה מקומית,6481,1.011494253,175,2,175,0.027
2010,1,המרכז,לוד,עיר,33064,0.722689076,2255,191,2235,0.0682
2010,1,המרכז,מודיעין-מכבים-רעות*,עיר,36755,0.770877944,827,332,821,0.0225
2010,1,המרכז,מזכרת בתיה,מועצה מקומית,5602,0.795454545,158,33,155,0.0282
2010,1,המרכז,נס ציונה,עיר,20031,0.756164384,641,132,634,0.032
2010,1,המרכז,נתניה,עיר,94237,0.815768302,4514,740,4463,0.0479
2010,1,המרכז,סביון*,יישוב כפרי,1616,0.777777778,16,7,16,0.0099
2010,1,המרכז,פרדסייה,מועצה מקומית,3422,0.673913043,77,11,76,0.0225
2010,1,המרכז,פתח תקווה,עיר,108356,0.810986965,3890,775,3871,0.0359
2010,1,המרכז,קדימה-צורן,מועצה מקומית,8639,0.78030303,235,70,233,0.0272
2010,1,המרכז,קלנסווה,מועצה מקומית,7181,0.678700361,930,1,922,0.1295
2010,1,המרכז,קריית עקרון,מועצה מקומית,5351,0.992063492,251,18,249,0.0469
2010,1,המרכז,ראש העין,עיר,20357,0.959885387,684,79,671,0.0336
2010,1,המרכז,ראשון לציון,עיר,125960,0.792202572,4459,917,4443,0.0354
2010,1,המרכז,רחובות,עיר,57529,0.801768607,2445,519,2412,0.0425
2010,1,המרכז,רמלה,עיר,32693,0.849686848,1772,116,1725,0.0542
2010,1,המרכז,רעננה,עיר,34726,0.901907357,698,266,696,0.0201
2010,1,המרכז,שוהם,מועצה מקומית,9537,0.71875,165,80,165,0.0173
2010,1,המרכז,תל מונד,מועצה מקומית,5338,0.670588235,142,42,142,0.0266
2010,1,הצפון,אבו סנאן,מועצה מקומית,4768,0.609004739,679,10,675,0.1424
2010,1,הצפון,אכסאל,מועצה מקומית,4675,0.782258065,663,17,661,0.1418
2010,1,הצפון,אעבלין,מועצה מקומית,4701,0.719794344,669,12,669,0.1423
2010,1,הצפון,בועיינה-נוג'ידאת,מועצה מקומית,3183,0.740484429,503,5,499,0.158
2010,1,הצפון,בוקעאתא,מועצה מקומית,2368,0.837438424,373,2,365,0.1575
2010,1,הצפון,ביר אל-מכסור,מועצה מקומית,2992,0.713709677,425,2,424,0.142
2010,1,הצפון,בית ג'ן,מועצה מקומית,4126,0.493273543,333,3,331,0.0807
2010,1,הצפון,בית שאן,מועצה מקומית,9257,0.742793792,786,18,782,0.0849
2010,1,הצפון,בסמת טבעון,מועצה מקומית,2716,0.612565445,308,3,308,0.1134
2010,1,הצפון,בענה,מועצה מקומית,2807,0.712177122,464,1,464,0.1653
2010,1,הצפון,ג'דיידה-מכר,מועצה מקומית,7603,0.745614035,1393,6,1393,0.1832
2010,1,הצפון,ג'ולס,מועצה מקומית,2327,0.555555556,182,6,182,0.0782
2010,1,הצפון,ג'ש (גוש חלב),יישוב כפרי,1421,0.647058824,56,3,56,0.0394
2010,1,הצפון,דבורייה,מועצה מקומית,3598,0.931192661,421,14,421,0.117
2010,1,הצפון,דייר אל-אסד,מועצה מקומית,4130,0.714285714,444,7,444,0.1075
2010,1,הצפון,דייר חנא,מועצה מקומית,3924,0.809782609,666,13,666,0.1697
2010,1,הצפון,זרזיר,מועצה מקומית,2451,0.711864407,303,2,299,0.1236
2010,1,הצפון,חורפיש,מועצה מקומית,2068,0.568181818,138,7,138,0.0667
2010,1,הצפון,חצור הגלילית,מועצה מקומית,4377,0.803797468,285,13,282,0.0651
2010,1,הצפון,טבריה,עיר,21032,0.800192123,1874,110,1789,0.0891
2010,1,הצפון,טובא-זנגרייה,מועצה מקומית,2663,0.848958333,355,3,352,0.1333
2010,1,הצפון,טורעאן,מועצה מקומית,4597,0.632947977,565,11,563,0.1229
2010,1,הצפון,טמרה,מועצה מקומית,11680,0.779310345,2064,20,2059,0.1767
